existing_column,another_column,category_column,numeric_column,column1,column2
61,98,Category B,66,0.5495763450626673,-0.4333034069025602
24,80,Category B,221,-1.2708718068760398,0.2038227275274671
81,18,Category C,269,2.3890359573924624,0.5591092026145276
70,97,Category C,207,1.8434137583205332,0.8725415914304794
30,138,Category A,95,1.3634354909517044,1.1543543384089239
92,145,Category A,422,0.8287659776048749,-0.4773817305753208
96,72,Category C,55,0.015143278259864286,-0.6642274433044227
84,148,Category B,148,0.4420740168667314,1.3601113662481714
84,90,Category A,429,1.0480197439949521,-2.037075934972139
97,145,Category C,282,-0.6285697474757065,1.5700322805426723
33,42,Category C,86,-0.4444987442191827,-0.3023242420763079
12,132,Category C,329,-1.6691323590905318,-0.004562828990296256
31,14,Category B,398,-0.7718190777567552,-0.6823426011201539
62,50,Category C,351,1.6613017306081541,-0.04819548553581296
11,37,Category C,230,-0.33424709115036766,1.2711382259809147
97,144,Category C,144,-0.3178469065105834,0.7708631014640396
39,81,Category C,148,0.31776703243711857,0.49268648380040525
47,21,Category A,237,-1.6122273071745234,0.08887300613174359
11,42,Category A,165,0.9453816900875672,-1.4456099724720826
73,57,Category C,240,1.266406855372875,-0.8441369135177398
69,71,Category B,302,0.3772962654604092,-0.34320123663116797
30,46,Category A,465,1.65135098647949,0.4576764544288389
42,108,Category C,210,-1.326831766135897,0.06965266451887907
85,113,Category A,305,1.8437157977518461,0.9835043063584651
67,44,Category A,372,-0.7307414032296535,0.4736273877275646
31,110,Category B,177,-1.27991973326313,0.05435057793857113
98,140,Category C,67,-0.237391961206669,2.2757612975672035
58,10,Category C,330,1.8720056804723042,0.4062266850499283
68,14,Category B,272,-0.019442140899548193,-0.43194220160837227
51,112,Category B,103,-0.9325916565610811,1.85996700648693
69,36,Category C,107,-1.2949424744798599,1.2004115484133984
89,146,Category C,372,-0.10511850474641372,1.816087790243815
24,24,Category B,409,-1.9949615715576492,-0.11093193562951016
71,99,Category A,223,-1.3001928415934398,0.9763091264811027
71,51,Category A,329,1.5430676518590838,-1.4528494590723608
56,133,Category B,163,1.3232638071512366,0.7840064109141683
71,72,Category A,337,-0.1284121465397082,-0.1577239582541034
60,105,Category B,480,-0.4656647712545464,-1.3550579555179323
64,61,Category A,391,0.05850890230684416,1.0326004040179766
73,105,Category A,200,2.3479969284503226,-1.810131324996016
12,141,Category C,499,0.4049755087705251,-1.912706517064219
60,38,Category C,176,0.9097381749598169,0.36247645880530205
16,45,Category A,204,-0.20245752583155116,0.571347510326788
30,22,Category A,435,0.060896607117160384,0.9705238200132107
82,80,Category C,322,0.6471626967870439,0.7419630165294652
48,95,Category C,153,0.12609482782402903,1.476658625429629
27,37,Category C,466,-1.8973769824886577,0.700242953362419
13,75,Category B,442,1.2805407616774638,-0.13229944394246262
98,54,Category A,348,-0.6151336777713305,-0.07361111579190632
69,71,Category C,295,2.111317641616252,-0.28222118898721094
23,143,Category A,225,0.6868485127659709,0.29547752442318337
18,37,Category B,88,0.07097241563974602,-1.0973458685666584
99,37,Category B,219,0.4393271401034342,0.34092219855895356
62,117,Category C,296,-0.10849788856351314,-0.08641350683161349
11,53,Category B,75,-0.4864327660523606,0.27563515788740767
93,93,Category A,404,0.2075982612857199,0.27872303497066114
69,39,Category C,355,0.8849904671866655,-2.452264601315733
80,84,Category A,458,-0.4645297486449678,-0.901293818664668
53,137,Category A,457,-0.6222371649062791,-0.10862866408885558
17,101,Category B,62,-0.35548864091635973,-0.05548495829767373
56,138,Category B,365,0.9520110938466946,0.25938930899969403
44,130,Category B,440,1.452550247462371,0.3023482903316427
87,36,Category B,362,0.3620139119424706,1.5162333229338962
90,130,Category B,85,0.5813141340357241,0.31245848109794744
45,125,Category C,222,-0.6297008572651128,-0.31302370821644054
59,12,Category A,69,0.8767546499523254,-1.5991234725374825
13,112,Category A,370,0.5517370104650744,-1.3685901155418572
11,146,Category A,313,-0.7101279579274838,0.5354918099752046
15,71,Category A,449,-1.787671611931782,1.060446814110468
63,60,Category B,191,-1.2205701042818544,1.5413709969181826
13,68,Category A,420,-0.6692027281812131,-0.8278930789157132
63,127,Category C,192,1.1619373177467747,-0.30386443543092717
72,105,Category C,141,1.5528597758393257,0.24233368608311256
27,122,Category A,403,-0.43951787547427723,2.047398921130238
99,71,Category A,371,-0.40791535277129576,0.11486146821389558
53,61,Category C,337,0.2616230559724664,1.551262854732971
43,21,Category C,264,0.012146509073225323,0.1699729029073083
83,48,Category B,496,0.9309340839740791,1.1532451864284559
71,139,Category C,391,-0.5231880935871098,1.0265798465520781
23,140,Category B,100,0.9491429877809984,0.1660881325081512
57,122,Category B,202,-0.23922479786975515,-1.0203832472621548
24,110,Category B,235,0.8539747110678559,-0.2690944379289504
81,122,Category B,112,-0.2710404622885425,1.489045173884479
87,90,Category B,239,-0.6130946829083779,0.8778251684801136
96,122,Category A,174,1.9123176398399706,-0.43365032677184717
71,11,Category C,199,1.065227082546918,-0.34230863862439936
49,139,Category B,363,-1.792045100135215,-1.7308731037655674
94,63,Category C,107,-0.4467735117899077,1.444338791981811
89,96,Category C,391,1.2049229217785742,0.8860635602461532
91,138,Category B,354,-1.196660469213522,-0.13707782104185295
62,135,Category A,229,0.7706783295231111,0.20013441917342262
33,139,Category B,219,0.6670561034697914,-2.17086582813041
35,62,Category A,375,-0.6991465780919173,-0.4867144960427494
98,77,Category C,320,-0.008817046245807649,1.3344456408641356
69,132,Category A,103,-2.0900177486302796,0.9815473767300812
50,47,Category A,493,1.7704315165667186,0.330700557063932
38,33,Category A,150,-0.3090925091969218,-0.014718258634936664
24,78,Category C,313,0.8038130513762585,0.7964054296963266
54,125,Category C,102,0.6138413414754245,-0.28138510655108645
74,107,Category A,109,1.3578807880999881,-1.6646931961950078
